country,year,fertility_rate
United States,1800,7.03
United States,1801,7.01
United States,1802,6.99
United States,1803,6.96
United States,1804,6.94
United States,1805,6.92
United States,1806,6.9
United States,1807,6.87
United States,1808,6.85
United States,1809,6.83
United States,1810,6.81
United States,1811,6.79
United States,1812,6.76
United States,1813,6.74
United States,1814,6.72
United States,1815,6.7
United States,1816,6.67
United States,1817,6.65
United States,1818,6.63
United States,1819,6.61
United States,1820,6.59
United States,1821,6.57
United States,1822,6.54
United States,1823,6.52
United States,1824,6.5
United States,1825,6.48
United States,1826,6.46
United States,1827,6.44
United States,1828,6.42
United States,1829,6.4
United States,1830,6.38
United States,1831,6.36
United States,1832,6.34
United States,1833,6.32
United States,1834,6.3
United States,1835,6.28
United States,1836,6.26
United States,1837,6.24
United States,1838,6.22
United States,1839,6.2
United States,1840,6.18
United States,1841,6.14
United States,1842,6.09
United States,1843,6.05
United States,1844,6
United States,1845,5.96
United States,1846,5.91
United States,1847,5.87
United States,1848,5.82
United States,1849,5.78
United States,1850,5.73
United States,1851,5.69
United States,1852,5.64
United States,1853,5.6
United States,1854,5.55
United States,1855,5.51
United States,1856,5.46
United States,1857,5.42
United States,1858,5.37
United States,1859,5.33
United States,1860,5.28
United States,1861,5.26
United States,1862,5.23
United States,1863,5.2
United States,1864,5.18
United States,1865,5.15
United States,1866,5.12
United States,1867,5.1
United States,1868,5.07
United States,1869,5.04
United States,1870,5.02
United States,1871,4.99
United States,1872,4.96
United States,1873,4.94
United States,1874,4.91
United States,1875,4.88
United States,1876,4.86
United States,1877,4.83
United States,1878,4.8
United States,1879,4.77
United States,1880,4.75
United States,1881,4.7
United States,1882,4.66
United States,1883,4.61
United States,1884,4.57
United States,1885,4.52
United States,1886,4.48
United States,1887,4.43
United States,1888,4.39
United States,1889,4.35
United States,1890,4.3
United States,1891,4.26
United States,1892,4.21
United States,1893,4.17
United States,1894,4.12
United States,1895,4.08
United States,1896,4.03
United States,1897,3.99
United States,1898,3.94
United States,1899,3.9
United States,1900,3.85
United States,1901,3.85
United States,1902,3.84
United States,1903,3.83
United States,1904,3.79
United States,1905,3.75
United States,1906,3.71
United States,1907,3.67
United States,1908,3.63
United States,1909,3.58
United States,1910,3.59
United States,1911,3.57
United States,1912,3.56
United States,1913,3.45
United States,1914,3.57
United States,1915,3.52
United States,1916,3.47
United States,1917,3.33
United States,1918,3.31
United States,1919,3.07
United States,1920,3.26
United States,1921,3.33
United States,1922,3.11
United States,1923,3.1
United States,1924,3.12
United States,1925,3.01
United States,1926,2.9
United States,1927,2.82
United States,1928,2.66
United States,1929,2.53
United States,1930,2.53
United States,1931,2.4
United States,1932,2.32
United States,1933,2.01
United States,1934,2.07
United States,1935,2.04
United States,1936,2.01
United States,1937,2.04
United States,1938,2.09
United States,1939,2.05
United States,1940,2.11
United States,1941,2.23
United States,1942,2.47
United States,1943,2.57
United States,1944,2.44
United States,1945,2.38
United States,1946,2.83
United States,1947,3.16
United States,1948,3.01
United States,1949,3.02
United States,1950,3.02
United States,1951,3.2
United States,1952,3.3
United States,1953,3.37
United States,1954,3.49
United States,1955,3.54
United States,1956,3.65
United States,1957,3.74
United States,1958,3.69
United States,1959,3.69
United States,1960,3.67
United States,1961,3.63
United States,1962,3.48
United States,1963,3.35
United States,1964,3.22
United States,1965,2.93
United States,1966,2.71
United States,1967,2.56
United States,1968,2.47
United States,1969,2.46
United States,1970,2.46
United States,1971,2.27
United States,1972,2.01
United States,1973,1.87
United States,1974,1.83
United States,1975,1.77
United States,1976,1.74
United States,1977,1.78
United States,1978,1.75
United States,1979,1.8
United States,1980,1.82
United States,1981,1.81
United States,1982,1.81
United States,1983,1.78
United States,1984,1.79
United States,1985,1.84
United States,1986,1.84
United States,1987,1.87
United States,1988,1.92
United States,1989,2
United States,1990,2.07
United States,1991,2.06
United States,1992,2.04
United States,1993,2.02
United States,1994,2
United States,1995,1.98
United States,1996,1.98
United States,1997,1.97
United States,1998,2
United States,1999,2.01
United States,2000,2.05
United States,2001,2.03
United States,2002,2.02
United States,2003,2.05
United States,2004,2.06
United States,2005,2.06
United States,2006,2.11
United States,2007,2.12
United States,2008,2.07
United States,2009,2
United States,2010,1.93
United States,2011,1.9
United States,2012,1.9
United States,2013,1.96
United States,2014,1.95
United States,2015,1.93
United States,2016,1.92
United States,2017,1.91
United States,2018,1.9
